"first_name","last_name","games","starts","minutes","points","two_points_made","two_points_attempted","three_points_made","three_points_attempted","free_throws_made","free_throws_attempted","blocked_shot_attempts","offensive_rebounds","defensive_rebounds","assists","screen_assists","turnovers","steals","deflections","loose_balls_recovered","blocked_shots","personal_fouls","personal_fouls_drawn","charges_drawn","technical_fouls","flagrant_fouls","possessions","team_possessions","age","pred_reduced_glm"
"frankie","mazzola",45,23,689.85,168,51,90,18,55,12,28,13,62,121,34,0,41,28,0,0,25,75,37,0,0,0,1233.4005,3239.4804,19,0.917654363536955
"barrett","stackhouse",30,4,320.13,118,51,78,0,0,16,21,3,33,41,10,0,14,14,0,0,22,65,19,0,0,0,574.324,2376.2961,18,0.870119843839088
"boban","fotu",20,1,304,143,23,40,28,56,13,23,3,14,29,11,0,12,9,0,0,2,17,23,0,0,0,556.876,1474.6222,19,0.860857344956898
"baynes","peterson",23,1,479.89,158,50,94,12,34,22,29,6,6,35,61,0,38,14,0,0,0,38,50,0,0,0,811.8518,1759.4223,21,0.85317705380236
"eulis","harrellson",15,3,184.47,53,10,23,9,27,6,8,1,3,11,20,0,17,4,0,0,0,27,17,0,0,0,322.0857,1684.8642,19,0.84331771024202
"devontae","motos",11,0,167.54,34,11,24,3,23,3,4,0,5,9,27,0,9,9,0,0,0,24,12,0,0,0,301.5409,935.9072,20,0.801507031306144
"janning","westbrook",19,4,302,56,19,42,0,13,18,27,5,21,38,5,0,16,6,0,0,5,36,23,0,0,0,548.9172,1390.4691,20,0.799124159142594
"wells","leonard",20,17,570.98,207,60,110,17,65,36,50,7,27,76,34,0,34,25,0,0,4,39,54,0,0,0,1051.3202,1489.9809,22,0.771415641403279
"aric","douglas",22,4,195.95,66,27,44,0,1,12,32,2,24,29,8,0,14,11,0,0,8,41,27,0,0,0,350.2952,2527.2008,19,0.766861782753099
"devecchi","adams",12,0,119.42,33,6,19,6,18,3,6,1,4,6,4,0,4,3,0,0,0,13,7,0,0,0,209.6832,983.2811,20,0.74955370174539
"colom","bargnani",14,6,216,78,19,36,11,27,7,14,3,6,21,7,0,4,5,0,0,1,28,14,0,0,0,384.3786,1361.3409,21,0.723219719509708
"rodions","mbah",29,3,336.62,98,24,55,8,32,26,40,6,17,21,42,0,52,6,0,0,2,74,33,0,0,0,614.1301,2132.1498,18,0.699198552624751
"timofey","green",14,1,107.55,17,5,12,2,6,1,2,2,7,3,8,0,4,4,0,0,0,20,5,0,0,0,191.9347,1802.4369,20,0.685972838100369
"luis","angola",16,9,301.58,103,18,36,20,54,7,9,3,7,11,11,0,13,8,0,0,0,37,12,0,0,0,545.9063,1375.7208,21,0.680709143840477
"theis","wagner",31,23,794.5,393,67,119,51,118,106,113,11,37,118,28,0,37,30,0,0,0,61,110,0,0,0,1428.9929,2453.1718,24,0.679789989761743
"avdija","dedmon",23,8,335.97,79,9,19,18,51,7,8,3,6,20,26,0,11,8,0,0,0,45,21,0,0,0,599.575,1802.4369,21,0.673184826445795
"martynas","boone",34,6,444.86,101,30,60,6,24,23,30,4,27,62,13,0,13,18,0,0,3,53,27,0,0,0,799.427,2453.1718,21,0.658235006366923
"walkup","foster",15,1,101.39,25,5,21,2,12,9,10,2,3,13,5,0,10,5,0,0,2,12,7,0,0,0,183.3969,1538.5118,20,0.640847252280965
"yante","queeley",16,16,470,206,28,60,29,69,63,72,8,23,93,15,0,35,7,0,0,0,40,57,0,0,0,863.2766,1203.077,23,0.63872976202063
"alexander","chriss",11,0,21.51,3,0,5,1,3,0,0,1,0,0,6,0,2,0,0,0,0,5,3,0,0,0,40.522,2412.6642,20,0.63551164701175
"georges","gobert",18,2,182.01,50,8,17,8,26,10,12,1,4,9,16,0,8,3,0,0,0,37,10,0,0,0,352.2823,1741.4292,20,0.608271063809693
"gudaitis","monia",32,3,337.3,66,29,59,0,0,8,19,3,29,28,5,0,11,3,0,0,5,52,13,0,0,0,609.9415,2429.334,20,0.598368758127057
"kapono","boykins",11,7,120.65,42,12,24,5,12,3,5,1,10,16,6,0,5,2,0,0,3,21,4,0,0,0,229.8975,1067.0714,21,0.590757300926954
"roko","blackmon",27,22,689.48,350,72,149,51,140,53,64,10,47,127,33,0,45,10,0,0,13,67,61,0,0,0,1249.7502,2429.334,24,0.579282562046215
"rafael","selby",33,18,426.48,134,36,76,15,60,17,28,5,7,39,69,0,50,7,0,0,2,36,48,0,0,0,762.7619,3239.4804,20,0.574617992070125
"antonio","shakur",22,0,227.37,41,8,19,6,12,7,12,1,11,22,6,0,3,6,0,0,0,26,12,0,0,0,410.3255,2429.334,21,0.570550246517584
"caicedo","handlogten",15,9,450,188,37,74,27,84,33,43,4,11,58,75,0,39,14,0,0,2,37,39,0,0,0,832.1946,888.4001,23,0.557616205959374
"baldi","harper",13,4,226.26,76,7,26,18,45,8,9,2,8,21,2,0,12,8,0,0,1,23,11,0,0,0,403.0522,944.1355,22,0.550706270248684
